rating,features,promo_price,currency,instock,current_price,sku,title,primary_image_url,price,description,ean,mpn,brand,promo_qty,image_urls,expiry,crawl_time,promo_data,retailer_sku_code,categories,url,upc,attributes,model
,,,,Pre-order to BE FIRST,,276498,melkco Leather Case for Samsung Galaxy S6 Edge ,,,,,,melkco,,http://i2.expansys.com/img/b/276498/melkco-leather-case-for-samsung-galaxy-s6-edge.jpg,,,,,,,,,
,,,,Pre-order to BE FIRST,,276499,melkco Leather Case for Samsung Galaxy S6 Edge ,,,,,,melkco,,http://i2.expansys.com/img/b/276499/melkco-leather-case-for-samsung-galaxy-s6-edge.jpg,,,,,,,,,
,,,SGD,In Stock Now,,276497,melkco Leather Case for Samsung Galaxy S6 Edge ,,SG$35,,,,melkco,,http://i2.expansys.com/img/b/276497/melkco-leather-case-for-samsung-galaxy-s6-edge.jpg,,,,,,,,,
,,,SGD,In Stock Now,,276475,Momax Slim-Fit TPU  Case for Samsung Galaxy S6 Edge ,,SG$3,,,,Momax,,http://i2.expansys.com/img/b/276475/momax-slim-fit-tpu-case-for-samsung-galaxy-s6-edge.jpg,,,,,,,,,
,,,SGD,In Stock Now,,276474,Momax Slim-Fit TPU  Case for Samsung Galaxy S6 Edge ,,SG$3,,,,Momax,,http://i1.expansys.com/img/b/276474/momax-slim-fit-tpu-case-for-samsung-galaxy-s6-edge.jpg,,,,,,,,,
,,,SGD,In Stock Now,,279293,goo.ey Case for Samsung Galaxy S6 Edge ,,SG$37,,,,goo.ey,,http://i1.expansys.com/img/b/279293/goo-ey-case-for-samsung-galaxy-s6-edge.jpg,,,,,,,,,
,,,SGD,Stock is not in local warehouse,,282293,ASUS Zenfone 2 Laser Dual SIM ZE550KL ,,SG$274,,,,ASUS,,http://i1.expansys.com/img/b/282293/asus-zenfone-2-laser-dual-sim-ze550kl.jpg,,,,,,,,,
,,,SGD,In Stock Now,,270607,Samsung GALAXY A5 Dual SIM SM-A5000 ,,SG$459,,,,Samsung,,http://i2.expansys.com/img/b/270607/samsung-galaxy-a5.jpg,,,,,,,,,
,,,SGD,In Stock Now,,282314,ASUS Zenfone 2 Laser Dual SIM ZE550KL ,,SG$274,,,,ASUS,,http://i1.expansys.com/img/b/282314/asus-zenfone-2-laser-dual-sim-ze550kl.jpg,,,,,,,,,
,,,SGD,In Stock Now,,278330,AT Screen Guard  for HTC One E9 plus ,,SG$3,,,,AT,,http://i1.expansys.com/img/b/278330/at-screen-guard-for-htc-one-e9-plus.jpg,,,,,,,,,
